0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.22,0.14,0.21,0.11,0.18,0.07,0.11,0.05,0.05,0.0,0.04,0.06,0.13,0.14,0.15,0.08,0.1,0.17,0.17,0.1,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.28,0.37,0.32,0.22,0.22,0.17,0.13,0.1,0.12,0.1,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.31,0.32,0.21,0.13,0.07,0.05,0.06,0.09,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.1,0.09,0.05,0.0,0.0,0.0,0.03,0.03,0.09,0.08,0.12,0.06,0.08,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.2,0.16,0.21,0.18,0.09,0.1,0.05,0.05,0.05,0.06,0.06,0.05,0.03,0.07,0.03,0.1,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.02,0.06,0.05,0.05,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.05,0.07,0.07,0.06,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.32,0.41,0.36,0.24,0.1,0.04,0.0,0.0,0.0,0.15,0.3,0.35,0.2,0.11,0.14,0.31,0.48,0.57,0.6,0.51,0.38,0.24,0.2,0.18,0.12,0.03,0.0,0.01,0.04,0.1,0.29,0.49,0.5,0.38,0.2,0.16,0.09,0.04,0.05,0.11,0.26,0.34,0.52,0.52,0.55,0.39,0.27,0.11,0.03,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.02,0.05,0.05,0.06,0.02,0.02,0.01,0.01,0.06,0.09,0.1,0.05,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.05,0.05,0.2,0.27,0.45,0.53,0.53,0.35,0.12,0.0,0.0,0.0,0.1,0.09,0.09,0.0,0.0,0.0,0.01,0.05,0.05,0.03,0.02,0.02,0.09,0.19,0.22,0.14,0.02,0.0,0.0,0.0,0.11,0.19,0.25,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.42,0.8,1.07,1.22,1.21,1.04,0.79,0.52,0.36,0.23,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.22,0.29,0.46,0.6,0.75,0.69,0.49,0.23,0.05,0.0,0.0,0.08,0.3,0.58,0.69,0.55,0.3,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.53,0.56,0.58,0.52,0.53,0.48,0.44,0.36,0.35,0.43,0.56,0.57,0.56,0.52,0.47,0.41,0.44,0.61,0.52,0.57,0.3,0.27,0.05,0.05,0.17,0.28,0.5,0.79,1.01,1.2,1.11,0.9,0.78,0.57,0.57,0.41,0.42,0.35,0.3,0.16,0.35,0.41,0.5,0.47,0.52,0.56,0.55,0.87,1.2,1.46,1.22,0.87,0.72,0.6,0.71,0.67,0.86,1.1,1.27,1.31,1.12,0.89,0.66,0.45,0.37,0.34,0.39,0.27,0.16,0.04,0.04,0.14,0.15,0.18,0.15,0.15,0.2,0.1,0.09,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.11,0.11,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.47,0.68,0.78,0.65,0.42,0.18,0.01,0.04,0.14,0.28,0.3,0.26,0.12,0.06,0.04,0.14,0.18,0.15,0.12,0.2,0.38,0.55,0.61,0.58,0.32,0.15,0.0,0.0,0.0,0.12,0.38,0.72,0.87,0.68,0.35,0.14,0.08,0.11,0.1,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.03,0.04,0.04,0.06,0.09,0.07,0.04,0.05,0.05,0.05,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.05,0.27,0.68,1.14,1.56,1.8,1.96,2.02,1.85,1.57,1.15,1.01,1.01,1.2,1.35,1.41,1.25,1.05,1.06,1.29,1.55,1.62,1.61,1.56,1.62,1.72,1.87,1.83,1.45,0.79,0.24,0.0,0.1,0.47,1.12,1.65,1.9,1.74,1.59,1.34,1.12,0.93,0.83,0.76,0.52,0.36,0.17,0.11,0.09,0.23,0.35,0.37,0.27,0.16,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.05,0.03,0.03,0.06,0.09,0.1,0.16,0.15,0.17,0.08,0.04,0.01,0.04,0.06,0.06,0.02,0.0,0.0,0.0,0.01,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.23,0.51,0.83,1.02,1.08,1.02,1.03,1.15,1.27,1.21,0.99,0.69,0.39,0.17,0.09,0.12,0.22,0.25,0.21,0.1,0.02,0.0,0.13,0.45,0.86,1.19,1.2,0.99,0.61,0.36,0.16,0.09,0.1,0.22,0.43,0.63,0.7,0.59,0.36,0.25,0.19,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.27,0.47,0.56,0.49,0.31,0.12,0.04,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.49,0.75,0.8,0.94,0.98,1.03,0.87,0.55,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.37,0.88,1.26,1.43,1.37,1.34,1.41,1.45,1.37,1.21,1.07,1.19,1.2,1.24,0.97,0.78,0.46,0.29,0.22,0.16,0.11,0.0,0.0,0.0,0.0,0.04,0.18,0.4,0.61,0.82,0.9,0.9,0.8,0.68,0.62,0.57,0.58,0.51,0.48,0.47,0.52,0.53,0.5,0.49,0.46,0.45,0.44,0.42,0.38,0.29,0.36,0.39,0.44,0.39,0.37,0.37,0.43,0.46,0.46,0.42,0.43,0.37,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
